Command	Alias	Type	Hidden?	Ruling?	Response
roll	r	Rollers	FALSE		Rolls a number of X-sided dice, including success/fail thresholds or additional hits.
repeatroll	rr, repeatr	Rollers	FALSE		Repeats a roll X times. Uses the same dice algebra as `{cp}roll`.
rulebook		Lookups	FALSE		Pulls up links for the NetBattlers rulebooks.
repo	pmr, pmc, playermade	Lookups	FALSE		This command can pull up and search for player-made content on the official Notion Player-Made Repository. Type `{cp}repo` to learn more!
					
stats	skills, stat, skill	Reminders (Base)	FALSE		All characters, ranging from Navis to Viruses, have **three stats** and **nine skills**, with each stat having three related skills.\n> **Mind:** Sense, Info, Coding\n> **Body:** Strength, Speed, Stamina\n> **Soul:** Charm, Bravery, Affinity\nWhen rolling skills, the player adds the skill and the related stat, then rolls that many dice. For more information on each skill, try using `{cp}help!` (i.e. `{cp}help speed`)\n\nSkills cannot be reduced below 0. Stats cannot be reduced below 1.\n**NetOps:** Skills cannot exceed 5. Stats cannot exceed 3.\n**Navis:** Skills cannot exceed 5. Stats cannot exceed 4.
sense		Reminders (Base)	TRUE		Study your surroundings, find jack-in ports, and take aim!
info		Reminders (Base)	TRUE		Possess knowledge and expertly wield Battle Chips!
coding		Reminders (Base)	TRUE		Program, hack, and rewire things in both the real and digital worlds!
strength		Reminders (Base)	TRUE		Lift, throw, and punch objects and people!
speed		Reminders (Base)	TRUE		Run, jump, and roll places, or out of danger!
stamina		Reminders (Base)	TRUE		Endure pain and danger!
charm		Reminders (Base)	TRUE		Sweet-talk, feign innocence, and gain allies!
bravery		Reminders (Base)	TRUE		Resist fear, intimidate enemies, and inspire your allies!
affinity		Reminders (Base)	TRUE		Manipulate your Navi element, and sync your NetOp and Navi!
navicust	navicustprograms, navicustprogram, ncps	Reminders (Base)	TRUE	ncpruling	
ncp		Lookups	FALSE	ncpruling	This command can display NCPs.
growingup	growup, levelup, levelingup	Reminders (Base)	FALSE		NetOps progress over the course of an adventure, __**Growing Up**__ as they learn, make mistakes, and mature. There are two versions of the Growing Up system: **Standard** and **Lite**. Talk with your group to agree on which system to use!\n\nWhenever your NetOps grow up (as described by the progression system), **choose one skill to increase by 1**. NetOp skills cannot exceed 5. \n\n**Standard:** For roleplay enthusaists! Your NetOp grows up by completing the three steps below.\n> •  Shows weakness\n> •  Learns a hard truth\n> •  Teaches someone a meaningful lesson\nAll three steps must be completed to get a skill increase, though they can happen in any order. NetOps cannot “stack” steps; treat the steps as a checklist rather than a flowchart. For more details on the steps themselves, use `{cp}help growingupex`.\n\n**Lite:** Simple and easy! Every three sessions your NetOp finishes, your NetOp grows up. Explain what your NetOp learned.\n\n**Independent Navis** also use the Growing Up system, except instead of earning a skill point, they get +2 EB.
growingupex	growingupextra, growupex, growupextra	Reminders (Base)	FALSE		**Shows weakness:** Falling for the bad guy's lie, acting selfishly when your friends need you, or giving up when the going gets tough... Showing weakness and failing to be a hero should create a meaningful complication with lasting consequences. The reason why should be reflective of a flaw in the character. \n\n**Learns a hard truth:** Learning a hard truth means turning your big mistake into character growth with someone's help. Hard truths are lessons like “Sometimes you need to rely on other people”, “There’s always someone better than you at something”, “You don’t need to put others down to feel good about yourself” - the kinds of lessons that people need to live to learn. \n\n**Teaches someone a meaningful lesson:** To grow up, you need to help someone else in need as well. The lesson you teach someone doesn’t need to be the one you just learned, but it should be something difficult: Maybe a heart-to-heart talk about the time you thought you didn’t need anyone else, or just telling them just how much they hurt people with their recklessness. By teaching someone a meaningful lesson, you’re not just helping them; you’re also showing your own maturity and the progress you’ve made if you’ve experienced that struggle too.\n\n
bond	bondpower, bondpowers	Lookups	FALSE	bondruling	This command displays Bond Powers, along with points needed, and what they do! (Use `{cp}bond all` to see all of them!)
bondpoint	bondpoints	Reminders (Base)	TRUE	bondruling	
parry	parrying, parrythisyoufuckingcasual	Reminders (Base)	FALSE		A character can try to counter a melee attack with a melee attack of their own, called a **__parry__**. Both parties roll using the appropriate skill, likely Strength. Whoever has the most hits wins, and the loser takes damage equal to the winner’s roll. This damage is not reduced by how many hits the loser rolled. (Note: parries are affected by anything that modifies either attacking or defending.)\n\nIf the two characters tie, they have a choice: back out or escalate. Both parties should declare this simultaneously. If both back out, nobody takes damage and the parry ends. If one escalates and the other backs out, the parry ends and the one that backed out is the loser. If both parties escalate, roll to melee attack each other again. Whoever rolls higher is the winner, unless they tie; in which case, the cycle continues until someone comes out on top. \n\nUnless both back out, when the parry ends, the loser takes damage equal to the winner’s strongest attack. However, if the loser backed out, they take half the damage they normally would, rounded up. Secondary effects (e.g. stunning) do not activate until after the parry resolves.
chip	chips	Lookups	FALSE	chipruling	This command can display info on BattleChips. It can also search for all BattleChips from a specific category, with a specific tag, Crossover Content source, or in a specific license.
battlechip	battlechips	Reminders (Base)	TRUE	chipruling	
folder	chipfolder, battlechipfolder	Reminders (Base)	FALSE		Your PET's folder space is determined by your **Navi Mind + Navi Info + 2**. By default, **Folders may not have duplicate BattleChips or more than 1 MegaChip, unless explictly stated otherwise.**
tag		Lookups	FALSE		Viruses and Battlechips have __**Tags**__ and __**Categories**__ that determine how they behave or work in battle.\n\nThis command pulls up a tag or category's description.
download	virusdownload, chipdata	Reminders (Base)	FALSE		After deleting a Virus, a Navi may attempt to capture its attack data. The amount of data available to download depends on three factors:\n> • The Navi began to process the Virus immediately after deletion.\n> • The Virus was deleted quickly.\n> • The Virus did minimal damage.\nIf none are true, there will not be enough data to piece together anything usable.\n\nFor **__NetOp/Navi pairs__**, the Navi may attempt to send data to a Blank BattleChip by rolling **Navi Coding**. The difficulty of the roll depends on the criteria above: if all three factors hold true, the roll is Easy; if two, Normal; and only one, Hard. Outside circumstances may make the roll more difficult (e.g. trying to write to a Blank BattleChip while in active combat.)\n\nOn a partial success, the BattleChip may not be the data you were looking for (Zenny, a different BattleChip). On a success, the Blank BattleChip contains the desired attack or data. On a critical success, the Navi may get extra data with the BattleChip, or they may be able to use it instantly.\n\nFor** __Independent Navis__**, because they cannot use Blank BattleChips, they don’t roll to download Virus attack data. Instead, they always get a chip on deletion, with the number of uses equal to the number of difficulty critera met.
kid	kidstats, kids, kidstat, kidnetop, kidnetops, netopstats, netops, netop, child, childstats, childstat	Reminders (Base)	FALSE		**__Kid__** NetOp stats start at 2 by default. Choose one stat and set it to 1.\nNetOp skills start at 0 by default. Choose two skills and set them to 1. Choose two other skills and set them to 2.\nNetOps also start off with a **Talent**.
talents	talent	Reminders (Base)	FALSE		NetOps have __**Talents**__: one for Kids, two for Teens, and three for Adults. Talents can be any area of expertise or interest. They should be general enough that they could organically come up (e.g. “Theater,” not “Ancient Opera”), but not so general that they apply more often than they don’t (e.g. “Judo,” not “Fighting”).\n**Once per session**, a NetOp can turn a failure/partial success into a full success if it falls under their Talent. **__This only applies to NetOp rolls.__**
navi	navistats, navistat, naviskills, naviskill, startingstats	Reminders (Base)	FALSE		**__Navis__** set one stat to 1, one to 2, and one to 3.\nNavi skills start at 0 by default. Choose two skills and set them to 1. Choose two skills and set them to 2. Set another skill to 3.\nWhen creating a Navi, choose any three Navi Powers. You can use `{cp}help powers` for more details.\nFinally, pick an element for your Navi. Use `{cp}help element` for more guidance on how to pick your element.
element		Rollers	FALSE	elementruling	This command rolls random elements from the Element Generation table. Type `{cp}element` for more details.
power	powers	Lookups	FALSE	powerruling	This command can display Navi and Virus powers (Cost, Roll, and Passive). It can also search powers by type, such as Navi Sense/Cost and Virus Passive. Type `{cp}power` to learn more!
					
hazard	hazards	Reminders (Base)	FALSE		**__Hazards__** are environmental challenges that players might encounter, such as stepping across burning coals, breathing in clouds of poison gas, or being crushed by a boulder. GMs can reduce a Hazard's effects in exchange for another negative effect (e.g. upshifting rolls, setting off an alarm, briefly freezing a Navi in place). Players may suggest alternate ways of resisting hazards (e.g. Speed instead of Stamina). Lastly, normal upshifting/downshifting rules apply; some Hazards may be Easy to defend by default, or naturally Hard to resist. **Treat these hazard descriptions as flexible suggestions.**\n\nFor a list of hazard examples from the rulebook, type `{cp}help hazardex`!
hazardex	hazardexample, hazardexamples,  hazardsexamples, hazardsex	Reminders (Base)	TRUE		**Light hazards:** Perform a Normal Stamina roll. On a failure, take 2 damage. On a partial success, take 1.\n**Normal hazards:** Perform a Normal Stamina roll. On a failure, take 4 damage. On a partial success, take 2.\n**Extreme hazards:** Perform a Normal Stamina roll. On a failure, take 6 damage. On a partial, take 4. On a full success, take 2.\n\n**Distractions:** Perform an Easy Bravery roll. On a failure, upshift the next two Mind rolls. On a partial success, upshift the next Mind roll. Penalties will fade if you take time to rest and recollect yourself.\n**Panics:** Perform a Normal Bravery roll. On a failure, upshift the next two rolls. On a partial success, upshift the next roll. Penalties will fade if you get away from the source of the panic, take time to rest, and recollect yourself.\n**Freezes:** Perform a Hard Bravery roll. On a failure, you freeze for several seconds, too panicked to act. On a partial success, you hesitate for just a moment.
independent	indies, independentnavis, indienavis, independents, indie	Reminders (Base)	FALSE		__**Independent Navis**__ are Navis that function alone, with no NetOp to assist them.\n\nAs they are always online and never jack out, they can **rest to restore their HP, spent skills/stats, and reconfigure their NaviCust.** While resting, Navis are completely inert. If a Navi is forced to act immediately after resting, they upshift their first three rolls.\n\nInstead of preparing Folders and slotting chips in, Independent Navis carry chip uses, which range from 0 to 3, in their Folder at all times. They cannot hold more chips than their Folder size. Using a chip decrements the remaining number of uses; zero-use chips are unusable but still take Folder space, and disappear when removed from a Folder. **Independent Navis get a number of starting chips equal to their Folder size, each with two uses.**\n\n**Independent Navis have their own version of the Growing Up system**. Instead of earning skill points, they get +2 EB. They also use the Bond system, though StandTogether uses [Navi Soul + Navi Bravery] instead of [NetOp Bravery + Navi Bravery] and FullSynchro is unusable. \n\nFor more details on **Advanced Rulings** for Independent Navis, use `{cp}help independent adv`! If you're not sure how a chip or NCP translates to Independent Navis, try checking those rules!
independentadv	indieadv, indiesadv, indieadvanced, indiesadvanced, indienaviadv, indienavisadv, indienaviadvanced, indienavisadvanced, independentadvanced, independentsadv, independentsadvanced, independentnaviadv, independentnavisadv, independentnaviadvanced, independentnavisadvanced	Reminders (Base)	FALSE		For **__Independent Navis__**, anything that requires sacrificing a **chip** sacrifices a charge instead. Any **NCP** that activates on jack-in instead activates after rest or drawing on a Hotspot. \n\nAnything that disrupts the link between Navi and **PET** instead jams their Folder; if something otherwise affects or depends on the PET, it instead affects/depends on the last used Hotspot. \n\nLastly, two Navi Power change for Independent Navis: **Reconfig** instantly trades BattleChips with a Near ally, and **Refresh** adds +2 to the user’s Folder size until rest. You can query them with ProgBot using `{cp}power ReconfigIndie` and `{cp}power RefreshIndie`.
hotspot	hotspots	Reminders (Base)	FALSE		**__Hotspots__** are landmarks containing power, ranging from symbolic statues to mysterious effigies and glowing fissures. All Hotspots have a **power rating** from 3 to 9. Navis can draw upon Hotspots by making physical contact for a minute. Afterwards, they can reduce the Hotspot’s power rating by one to pick an effect:\n> • Get all rest benefits instantly\n> • Get +3 EB until next rest (doesn't stack)\n> • Add +2 to 2 skills until next rest or Hotspot use\n> • Set a BattleChip’s uses to 3 (MegaChips incompatible)\nAfter a Hotspot’s power is reduced, it may take days or weeks to recover. Increasing a Hotspot’s power rating requires a high concentration of complex expressive data in its vicinity - in other words, strong expressions of emotion. The more Navis, energy, and strong emotions are involved, the more power is added.
virus		Lookups	FALSE	virusruling	This command can pull up a basic Virus description.
virusx		Lookups	FALSE		This specific command pulls up full stats for viruses, like stats and drops. __This command is more for GMs rather than players in a session.__
virusr	virusrandom	Rollers	FALSE		Rolls random Viruses. You can also give me specific categories to roll Viruses from; check out `{cp}virusr` for more details!
mysterydata		Rollers	FALSE		This command rolls Mystery Data and gives you the result automatically! Specify `{cp}mysterydata common`, `{cp}mysterydata uncommon`, or `{cp}mysterydata rare`!
mysteryreward		Rollers	FALSE		This command rolls Mystery Data (BattleChips and NCPs only) and gives you the result automatically! Specify `{cp}mysteryreward common`, `{cp}mysteryreward uncommon`, or `{cp}mysteryreward rare`!
					
teen	teens, teen, teenstat, teenstats, teennetop, teennetops	Reminders (Advanced Content)	FALSE		**__Teen__** stats start at 2, except for one at 1.\nTeen skills start at 0 by default. Choose three skills and set them to 1. Choose one skill to set at 2, and one to set at 3.\nTeens also have **two Talents**.
adult	adult, adults, adultstat, adultstats, adultnetop, adultnetops	Reminders (Advanced Content)	FALSE		**__Adults__** set one stat to 1, one to 2, and one to 3.\nAdult skills start at 0 by default. Choose two skills and set them to 1. Choose two other skills and set at 2.\nAdults also have **three Talents**.
license	s-license, b-license, c-license, a-license, licenses	Reminders (Advanced Content)	FALSE		Experienced NetBattlers can start off with **__NetBattling Licenses__**, indicating their level of experience and power. There are three License ranks in the book: **C**, **A**, and **S-License**.\n\n **C-License:** *Experienced NetBattlers - best in the city*\n> Start with a NaviCust and **6EB** of space. You can have **one** Personal BattleChip. Pick from the base and C-License pools for your starting chips, as well as 4EB worth of NCPs to start out with.\n\n**A-License:** *Top-Tier NetBattlers - best in the nation*\n> Start with a NaviCust and **10EB** of space. You can have **two** Personal BattleChips. Pick from the base, C-License, and A-License pools for your starting chips, as well as 6EB worth of NCPs to start out with.\n\n**S-License:** *Legendary NetBattlers - best in the world*\n> Start with a NaviCust and **15EB** of space. You can have **three** Personal BattleChips. Pick from the base, C-License, A-License, and S-License pools for your starting chips, as well as 10EB worth of NCPs to start out with.
personalchips	personalchip, personalbattlechips, personalbattlechip	Reminders (Advanced Content)	FALSE		When creating new characters, especially if they are starting off with Licenses, GMs may allow NetOps to get __**Personal BattleChips**__ when choosing starting chips.\n\nWhen the player chooses a Personal BattleChip, they pick any normal BattleChip that fits thematically with their NetOp/Navi, including whatever Crossover Content the GM allows. (i.e. PaladinSword for a medieval-style Navi, or Timpani for a drummer NetOp.) **The GM always gets the final say as to whether a BattleChip can be taken as a Personal BattleChip.** Personal Battlechips count towards the normal starting chip limit.
liberation	alarm, liberationmission	Reminders (Liberation)	FALSE		During __**Liberation Missions**__, tile entrances are armed with a sensor field to detect intruders. When a player enters the field, the **__alarm__** is triggered, though they may be able to bypass the sensors using Sneakrun or a chip like Invis or Shadow. Players are unable to bring their element from a prior room; the sensor field dissipates the element.\n\n**Each alarmed tile has an alarm control panel.** If the room is cleared of threats (no remaining hostile Viruses and hazards neutralized), the alarm deactivates automatically. Some rooms may allow players to leave the room before the alarm deactivates; in that case, the alarm will not sound if everyone leaves the room, but it will not count as deactivated and will reactivate the next time the players enter.\n\nAlarms have **Countdowns** before they activate. Type `{cp}help countdown` for more details.\n\nThe base types of locks are **Lockboxes**, **CryptoLocks**, **ProgLocks**, **SyncLocks**, and **StealthLocks**. Type `{cp}help [lock]` (i.e. `{cp}help lockbox`) for more details.
countdown	countdowns	Reminders (Liberation)	FALSE		There is a brief period between the alarm being triggered and its activation called the **__Countdown__**. During the Countdown, the GM gives the players a timer number, with lower numbers being more severe.** Every time a player rolls or uses a (non-Simple) BattleChip, the Countdown timer lowers by 1.** Parrying and defending against an attack does not lower the Countdown timer. When the timer hits 0, the alarm sounds, which triggers one or more repercussions.
perfectliberation	perfectlib	Reminders (Liberation)	FALSE		If the tile is cleared with each player reducing the Countdown timer by one or less, the players get a **Perfect Liberation.** After the mission is complete, the GM may give the players a reward based on the number of Perfect Liberations they achieved.
lockbox	lockboxes	Reminders (Liberation)	TRUE		__**Lockboxes**__ are encased in a hard shell that requires force to break. Once the shell is gone, anyone can disable it by pressing the buttons.
cryptolock	cryptolocks	Reminders (Liberation)	TRUE		__**CryptoLocks**__ are encrypted, unlocked by a **Normal Coding** roll.
proglock	proglocks	Reminders (Liberation)	TRUE		__**ProgLocks**__ are special blue-colored Mr. Progs. These Progs are able to turn the alarm on and off, but they tend to have personality quirks, and are often oblivious to threats facing the system. ProgLocks can often be deactivated by charming them or helping them with a small task, though intimidation may also work. Deleting a ProgLock automatically activates the alarm and makes it impossible to disable.
synclock	synclocks	Reminders (Liberation)	TRUE		__**SyncLocks**__ are made to ensure only human-controlled Navis pass. On activation, a series of prompts appears on the NetOp’s PET. The NetOp must succeed an **Easy Affinity** roll to sync up with their Navi and clear the prompts together. (Unusable by Independent Navis.)
stealthlock	stealthlocks	Reminders (Liberation)	TRUE		__**StealthLocks**__ are invisible control panels. They emit a subtle audio signal (e.g. beeping; static) and can be found with a **Sense** roll, though noisy environments make that Hard. StealthLocks throw a shower of sparks when damaged, briefly revealing their position.
generator	generators	Reminders (Liberation)	FALSE		Liberation maps may have **__Generator__** tiles. Generators create extra difficulties for nearby tiles while they’re active, and are usually tightly guarded. Generators double as the alarm control for their tiles.\n\nPlayers will have to sabotage the generator to disable them; exactly how is up to the GM. Some generators can be hacked before being disabled for a one-time benefit.\n\nFor help on specific generators, try asking for it specifically! (i.e. `{cp}help amplifier`)
amplifier	amplifiers	Reminders (Liberation)	TRUE		__**Amplifiers**__ are bulky machines that temporarily power up Viruses within two tiles. First, the Viruses start beeping. Next, they swell with energy, getting +2 dice to their next roll.\nWhen hacking an Amplifier, for each hit, everyone gets that many bonus dice on their next roll.
spawner	spawners	Reminders (Liberation)	TRUE		**__Spawners__** are glowing platforms that generate specific Viruses. When players clear a tile, the Spawner creates a Virus on a Spawner-adjacent tile. Spawners can only add one Virus per tile. If all adjacent tiles have a generated Virus, the Spawner expands its range by one.\nOn hacking a Spawner, it makes a friendly Virus to help the players.
shaker	shakers	Reminders (Liberation)	TRUE		__**Shakers**__ are huge pistons that periodically sound a siren, then slam into the ground, sending massive shockwaves to nearby tiles. The GM decides the Shaker’s range. Anyone on the ground while the shockwaves rock nearby tiles upshifts their next roll. Shakers may also make the environment gradually more dangerous with their shattering quakes.\nOn successfully hacking a Shaker, at any point, the Navi can trigger a single remote earthquake in the tile they’re in.
scanner	scanners	Reminders (Liberation)	TRUE		**__Scanners__** are giant radars that beep, then scan nearby tiles. The GM decides their range and if their view moves clockwise or counterclockwise. When the Scanner sweeps over a tile with players, any player caught moving reduces the Countdown by 2. The sweep lasts a few moments.\nWhen hacking a Scanner, the Navi can pick a contested tile. For each hit, the player can ask the GM about the tile’s: Viruses, hazards, alarm type, or threat.
jammer	jammers	Reminders (Liberation)	TRUE		**__Jammers__** are radio towers that enhance adjacent tiles’ alarms. In addition to the alarm’s normal effects, the Jammer fills the tile with PET-jamming signals, blocking chip usage and communication between NetOps and Navis until the alarm is deactivated.
audience	audienceparticipation	Rollers	FALSE	audienceruling	This command lets you query the Cheer/Jeer tables and roll random Cheer/Jeer effects! (You can also use `{cp}cheer` and `{cp}jeer` as shortcuts.) Type `{cp}audience help` for more details!
cheer		Rollers	FALSE	cheerruling	This command lets you query the Cheer tables and roll random Cheer effects! Type `{cp}cheer help` for more details!
jeer		Rollers	FALSE	jeerruling	This command lets you query the Jeer tables and roll random Jeer effects! Type `{cp}jeer help` for more details!
goallock	goallocks	Reminders (Liberation)	FALSE		__**GoalLocks**__ look like sports goals, labelled to show who owns them. They give the owner a point when something specific is put inside (e.g. a ball; a Mettaur; a cake.) If a room has only one GoalLock, it gives a point to whoever makes the goal. When the alarm triggers, the team with the most points wins.
teamlock	teamlocks	Reminders (Liberation)	FALSE		__**TeamLocks**__ look like pressure plates, buttons, and other simple devices. TeamLocks only appear in team matches. If teams have X number of players, a tile has X number of TeamLocks. All of them must be activated simultaneously by Close Navis in order to work. The first team to work the TeamLock wins.
crownlock	crownlocks	Reminders (Liberation)	FALSE		__**CrownLocks**__ look like large, fancy headware. Once a Navi puts it on, it shines bright. When the Navi would cause the tile’s Countdown to lower by 1, they instead gain a point. Removing the crown does not reset points. When a Navi reaches 3 points, the CrownLock activates and the Navi wins.
					
daemon		Lookups	FALSE	daemonruling	This command looks up a Daemon's information for DarkChip rules. For additional details on DarkChip rules (i.e. DarkChip limits, Tributes, ChaosUnisons, and Daemon Bonds), try checking `{cp}help`! (i.e. `{cp}help darkchips`) 
darkchip	darkchips, signaturedarkchip, signaturedarkchips	Reminders (DarkChips)	FALSE		**__DarkChips__** are destructive BattleChips connected to an outside entity - a **Daemon**. When a Navi first comes into contact with a DarkChip, even if they don’t use it, a Daemon will gain a tenuous link. If the Navi ignores the Daemon's temptations for long enough, the link will fade. However, using a DarkChip creates a Bond with the Daemon instead.\n\nWhenever a Navi uses a DarkChip, they have a choice - either **increase their Daemon Bond by 1** or perform their **Tribute**.\n\nDarkChips can only be used **once** each. **DarkChips have the same restrictions as MegaChips.** However, when a Daemon puts a DarkChip in a Navi’s Folder, it ignores all Folder restrictions.\n\n**Signature DarkChips** can only be accessed by that Daemon.
tribute	tributes, daemontribute, daemontributes	Reminders (DarkChips)	FALSE		**__Tributes__** are destructive acts that temporarily sacrifice a Navi’s agency, letting the Daemon act through them. Tributes have long-lasting consequences that persist on jack-out.\n\nThe primary way to Tribute is by using a DarkChip and choosing to Tribute instead of increasing your Daemon Bond by 1. However, once the Navi has a **Bond Level 3** or higher with the Daemon, the Daemon can remotely trigger their Tribute. It won’t happen instantaneously - there will be warning signs, such as a creeping feeling, icy hands, or uncontrollable shivers. When a Daemon triggers a Tribute, it is almost certain to happen at the worst possible time.
chaosunison	chaosunisons, chaosunion, chaosunions	Reminders (DarkChips)	FALSE		**__ChaosUnisons__** are corruptions of the Bond Power CrossSoul. When a Navi with a Daemon Bond activates CrossSoul, instead of spending 3 Bond Points, they can **sacrifice a DarkChip to trigger a ChaosUnison**. ChaosUnisons still Cross with an ally and contain all the benefits of a CrossSoul, but with three additional effects:\n>>> 1. Gain the Daemon's ChaosUnison benefit.\n2. CrossSoul instead lasts for **2+[Daemon Bond Leve]x2** rolls.\n3. The Navi increases their Daemon Bond Level by 1 after it ends.
domain	domains, daemondomain, daemondomains	Reminders (DarkChips)	FALSE		**__Domains__** represent the feelings the Daemon preys on and what benefits it offers. Domains influence the kinds of DarkChips Daemons provide, how they influence NetOps and Navis, and its Tribute.
