Power/NCP	Skill	Type	Effect	EB	Sort	From?	Alias
DrawDistance	Affinity	Roll	Enemies can’t see you or allies in your element unless they are Close.	-	Virus Power	Core	
DataMiner	Coding	Roll	Break a Close object, stealing data held within.	-	Virus Power	Core	
BreakAttack	-	Passive	Attacks and parries shatter nearby surfaces.	-	Virus Power	Core	
Copycat	Coding	Cost	Change your element to a Near target’s.	-	Virus Power	Core	
							
Minelayer	Affinity	Cost	Creates a Close mine that explodes for 4 damage when something touches it.	-	Virus Power	Core	
Cozy	Affinity	Cost	Don your element! Next time you’re hit, ignore damage and spread your element everywhere Near.	-	Virus Power	Core	
Smother	-	Passive	When your element touches someone else’s, they can’t manipulate it.	-	Virus Power	Core	
HolyMoly	Strength	Roll	Attack by flinging a Close object at someone Near.	-	Virus Power	Core	
NetTunnel	Speed	Roll	Tunnel through an object to somewhere Near.	-	Virus Power	Core	
Pitfall!	Affinity	Cost	Dig a hidden pitfall trap. Depth: 1 range band.	-	Virus Power	Core	
Overrun	-	Passive	Every time you roll, all of your Near element spreads a little bit more.	-	Virus Power	Core	
Anchored	-	Passive	Downshift rolls to prevent being moved.	-	Virus Power	Core	
							
Telltale	-	Passive	Always leave a trail of your element behind you.	-	Virus Power	ChitChat	
							
ProgPower	-	Passive	EggMecha deactivates if the Mr. Prog inside is removed.	-	Virus Power	Radical Spin	
Assimilation	-	Passive	Add +1 to a stat when you absorb a piece of Mystery Data. Drop the data on deletion.	-	Virus Power	Radical Spin	
							
Shakedown	-	Passive	When you hit a target, they drop 100z per point of damage.	-	Virus Power	Skateboard Dog	
							
HypnoShot	Charm	Cost	On hit, your next attack makes the target (pick 1): very sleepy; see illusions; upshift next Mind roll.	-	Virus Power	Mystic Lilies	
Sublimation	Speed	Cost	Summons mist. If you roll 3 times while in the mist, you can warp two range bands away.	-	Virus Power	Mystic Lilies	
CrystalEyes	-	Passive	When you cover something with your element, gain +1 Sense.	-	Virus Power	Mystic Lilies	
SpadeCurse	-	Passive	On hit, targets are unable to lie unless they make a Hard Bravery roll or jack out.	-	Virus Power	Mystic Lilies	
Trojan	Coding	Cost	Message a Near Navi’s PET with a link. If they open it, it makes a secret backdoor.	-	Virus Power	Mystic Lilies	
RedLetter	Affinity	Cost	Curse Near writing, changing the text and installing a secret PET backdoor on touch.	-	Virus Power	Mystic Lilies	
Impersonate	Charm	Cost	Send a forged message from any backdoored PET to the NetOp or their contacts.	-	Virus Power	Mystic Lilies	
Id	Affinity	Cost	Secretly send a strong sensation to a Near target. (If to player, GM passes a note explaining.)	-	Virus Power	Mystic Lilies	
Ego	Info	Cost	Sends (possibly false) info to a Near target in the form of a (possibly fabricated) memory.	-	Virus Power	Mystic Lilies	
Superego	Charm	Roll	Bewitch a Near NPC’s mind, rewriting their sense of morality until they take damage.	-	Virus Power	Mystic Lilies	
							
DarkMark	Coding	Cost	Mark a Near target. Hard Coding roll to remove - only one try. Remains after jack-out.	-	Virus Power	Mystic Lilies	
Payback	-	Passive	After your deletion, at some point, consume the Mark with a temporary curse (pick 1): make their highest stat 1; they make a loud, embarrassing noise; change their element to Bad Jokes.	-	Virus Power	Mystic Lilies	
ExtraExtra	Info	Cost	Creates a big, hefty textbox with scandalous info you’ve gained. Can absorb 1 attack.	-	Virus Power	Mystic Lilies	
Muckrake	-	Passive	When you hit a Navi, gain +1 Info and an embarrassing/damaging fact from their social media.	-	Virus Power	Mystic Lilies	
NightSign	Affinity	Cost	Mark a Near target. Removing a Mark requires a Hard Coding roll or jacking out.	-	Virus Power	Mystic Lilies	
Stalker	-	Passive	Once per minute, you can teleport directly behind any Marked target.	-	Virus Power	Mystic Lilies	
SmokeStep	-	Passive	You can move up to a range band immediately after being hit.	-	Virus Power	Mystic Lilies	
Firestarter	-	Passive	When you damage a target or object for the first time, they’re covered with your element.	-	Virus Power	Mystic Lilies	
CursedAsh	-	Passive	Everyone other than you sets their Stamina to 0 while touching your element.	-	Virus Power	Mystic Lilies	
Amplify	Affinity	Roll	Amplify and replay a Near sound, making it clearly audible up to Far range.	-	Virus Power	Mystic Lilies	
Mute	Affinity	Cost	Mute a Close sound, making it completely inaudible.	-	Virus Power	Mystic Lilies	
							
TempoShift	Affinity	Roll	Upshift or downshift the next Speed roll of all Near. Also affects the speed of moving objects.	-	Virus Power	Mystic Lilies	
Aria	Affinity	Cost	When a Near ally is about to be deleted, they survive at 1 HP.	-	Virus Power	Mystic Lilies	
SetPriority	Bravery	Cost	Whip a Close target for 1 dmg. Covers them in your element. They get +3 dice to their next roll.	-	Virus Power	Mystic Lilies	
FireWire	Affinity	Cost	Whip a Close target for 1 dmg. Covers them in your element. They restore all spent skill points.	-	Virus Power	Mystic Lilies	
ThisWayDown	Speed	Roll	Rush into Close range of a Near target, flipping over any object in your path.	-	Virus Power	Mystic Lilies	
Defiant	Affinity	Cost	Invert the temporary stat/skill changes of a Near target. Expires on your death.	-	Virus Power	Mystic Lilies	
Aromatherapy	Affinity	Cost	Pick an ally in your element. Heal them 3 HP and change their element to yours.	-	Virus Power	Mystic Lilies	
Foxglove	-	Passive	When enemies in your element fail a social Charm/Bravery roll, dictate what they say.	-	Virus Power	Mystic Lilies	
Tulip	-	Passive	When enemies in your element fail an Info/Sense roll, say what they recall/perceive.	-	Virus Power	Mystic Lilies	
PlatDuJour	Affinity	Cost	Curse your Close element. Any who touch it (pick 1): hallucinate; go blind; fall asleep.	-	Virus Power	Mystic Lilies	
							
PoeticLicense	Affinity	Roll	Temporarily change an object/ally’s appearance to a perfect rhyme of the target’s name.	-	Virus Power	Leximancy	
WordOfTheDay	Info	Cost	Secretly pick a word. You can warp directly behind any Far enemy that says that word.	-	Virus Power	Leximancy	
DeadLetter	Affinity	Roll	Declare a letter and a Near target. If they say the letter and you are alive, your element covers them.	-	Virus Power	Leximancy	
							
GasGasGas	Speed	Roll	Move Close to a Near target and steal (pick 1:) Zenny; a Folder chip; a held item.	-	Virus Power	Night Drifters	
							
Protect	Bravery	Cost	Pick an ally. Next time they’re damaged, downshift your next attack on the attacker.	-	Virus Power	Underground Broadcast	
Serve	Affinity	Roll	Fire a missile that destroys a Near object, leaving a Normal hazard in its wake.	-	Virus Power	Underground Broadcast	
Law	Coding	Roll	Pick a Close target; all of their present summoned element is scrubbed out of existence.	-	Virus Power	Underground Broadcast	
Order	Affinity	Roll	Rewind a Near object’s damage, movement, and modifications from the past minute.	-	Virus Power	Underground Broadcast	
Us	Bravery	Roll	Fling all Close allies at a Near target, sending them arcing through the air to Close range.	-	Virus Power	Underground Broadcast	
Them	Affinity	Cost	Call a spotlight down on a Near target, briefly deactivating invisibility and Guards.	-	Virus Power	Underground Broadcast	
Allegiance	Bravery	Cost	Mind-control a Near NPC, forcing them to aggressively assist you for one action.	-	Virus Power	Underground Broadcast	
							
GapingAbyss	Affinity	Roll	Create your element inside of you. It gradually pulls all Near targets into Close range.	-	Virus Power	The Walls Will Swallow You	
Primordial	-	Passive	You cannot die from HP loss; dmg pushes you away. Upshift rolls to move range bands.	-	Virus Power	The Walls Will Swallow You	
BlinkStep	Speed	Roll	Move up to a range band silently and almost instantly, as if moving in fast-motion.	-	Virus Power	The Walls Will Swallow You	
Dread	Coding	Cost	Near lights and cameras fade, then go dark for a few seconds. Usable while immobile.	-	Virus Power	The Walls Will Swallow You	
DreadΩ	Coding	Cost	Near lights and cameras fade, then go dark for a few seconds. Usable while immobile. Disconnects PETs.	-	Virus Power	The Walls Will Swallow You	DreadOmega
Scopophobia	-	Passive	If anyone sees you, you are immobilized. While immobilized, you are invincible.	-	Virus Power	The Walls Will Swallow You	
OpticalExploit	-	Passive	When someone looks at a picture of you, learn exactly where they are.	-	Virus Power	The Walls Will Swallow You	
Parasitosis	Coding	Roll	Enter a Close recently-deleted Navi/Virus, fully reviving them. You can’t be hurt while inside.	-	Virus Power	The Walls Will Swallow You	
Dysmorphia	Coding	Cost	Add 1 to one of your parasitized host’s skills. Their body distorts to accomodate the change.	-	Virus Power	The Walls Will Swallow You	
InTheEyes	-	Passive	You control parasitized targets. Replace their element with yours. They upshift Speed rolls.	-	Virus Power	The Walls Will Swallow You	
Plaguebringer	Affinity	Cost	Must be within an Infested target. They lose 2 HP. Spawn another WhiteMist Close.	-	Virus Power	The Walls Will Swallow You	
							
Inhale	Coding	Roll	Suck in up to 3 Near objects. Every object inside you adds 1 Stamina; max 9.	-	Virus Power	Mega Viruses	
InhaleΩ	Coding	Roll	Suck in up to 3 Near objects or Viruses. Every object/Virus inside you adds 1 Stamina; max 9. Viruses are unharmed.	-	Virus Power	Mega Viruses	InhaleOmega
Exhale	Stamina	Cost	Your next Sense attack launches an object from inside you for +1 dmg. Stacks to +3.	-	Virus Power	Mega Viruses	
Ventilate	Stamina	Cost	Eject an object to Near and change your element to something related to it. Lasts 3 rolls.	-	Virus Power	Mega Viruses	
JunkShield	-	Passive	When attacked at range, you can spend Stamina to negate incoming damage, 1-to-1.	-	Virus Power	Mega Viruses	
BeltFeed	Coding	Cost	Your next attack is (pick 1): Accurate; Piercing; electrified; environment-shattering.	-	Virus Power	Mega Viruses	
SpoolUp	-	Passive	Can spend 1 HP and a few seconds to make your next attack hit again. This stacks.	-	Virus Power	Mega Viruses	
DreamBeam	Sense	Roll	Fire a Near Piercing laser that breaks Guards and pierces unreinforced objects.	-	Virus Power	Mega Viruses	
DreamAura	Coding	Cost	Get a Guard that negates all attacks under 3 dmg. Lasts 4 rolls or until you take dmg.	-	Virus Power	Mega Viruses	
Dreamscape	Affinity	Cost	Move your Guard off your body, turning it into a Near wall with the same properties.	-	Virus Power	Mega Viruses	
DreamPrism	-	Passive	When your Guard negates a ranged attack, redirect it to a Near target of your choice.	-	Virus Power	Mega Viruses	
StaticVoid	Coding	Roll	Make a Near black hole. Spend 1 hit to draw something Near the void Close to it.	-	Virus Power	Mega Viruses	
VoidBurst	Affinity	Cost	Detonate your element! Removes temp. positive effects (e.g. Guards) from any Close.	-	Virus Power	Mega Viruses	
							
BlackThorn	Charm	Cost	Pick 2 targets and a Near enemy who picks which target you stun. Failure to pick stuns both.	-	Virus Power	Mega Viruses	
Narcissus	Bravery	Roll	Attack a Near target with cursed petals. They can divert this attack to all their Near allies.	-	Virus Power	Mega Viruses	
NarcissusΩ	Bravery	Roll	Attack a Near target with cursed petals. They can divert this attack to all their Near allies. Stuns targets.	-	Virus Power	Mega Viruses	NarcissusOmega
SnapDragon	Affinity	Cost	Ask every Near stunned enemy a question. If they lie (even by omission), they light on fire.	-	Virus Power	Mega Viruses	
MonksHood	Charm	Cost	Warp a range band, then copy a Far target’s appearance and voice. Ends on taking dmg.	-	Virus Power	Mega Viruses	
ChromaWave	Strength	Roll	Make a ranged attack on a Near target, covering them with all elements you control.	-	Virus Power	Mega Viruses	
Resonate	Affinity	Cost	Gain the use of a Near ally’s element in addition to your own.	-	Virus Power	Mega Viruses	
AddFriend	Charm	Roll	Create a token of affection for the target. Functionally useless, but thoughtful & caring.	-	Virus Power	Mega Viruses	
GuiltTrip	-	Passive	Everyone you meet instantly learns your unique name, favorite color, and favorite treat.	-	Virus Power	Mega Viruses	
ILoveYou	-	Passive	When you roll, Far Viruses learn your location. Starts undetectable, gradually gets obvious.	-	Virus Power	Mega Viruses	
ILoveYouΩ	-	Passive	When you roll, Far Viruses learn your location and gain +1 die to their next roll, stacking. Starts undetectable, gradually gets obvious.	-	Virus Power	Mega Viruses	ILoveYouOmega
Sorry	-	Passive	On deletion, you only drop an apology letter. Other drops only come from signal nodes.	-	Virus Power	Mega Viruses	
Engulf	Strength	Roll	Engulf a Close target, binding them and jamming their Folder until they break free.	-	Virus Power	Mega Viruses	
Infest	Affinity	Roll	Infest a Close object, taking control of it. You also heal 2 HP and grow in size.	-	Virus Power	Mega Viruses	
InfestΩ	Affinity	Roll	Infest a Close object or Virus, taking control of it. You also heal 2 HP and grow in size.	-	Virus Power	Mega Viruses	InfestOmega
InNumbers	-	Passive	Your Strength always equals half your HP, rounded up. Changing one changes the other.	-	Virus Power	Mega Viruses	
Swarm	Strength	Cost	Launch latching worms at a Near target. The worms disable powers/NCPs until removed.	-	Virus Power	Mega Viruses	
							
IronMaiden	Bravery	Roll	Trap a Close target inside you, blocking PET interaction. One at a time; escape is Hard.	-	Virus Power	Mega Viruses	
IronMaidenΩ	Bravery	Roll	Trap a Near target inside you, blocking PET interaction. One at a time; escape is Hard.	-	Virus Power	Mega Viruses	IronMaidenOmega
IronCradle	-	Passive	When rolling with someone inside, drain 1 HP. (No defense.) Eject anyone at 1 HP.	-	Virus Power	Mega Viruses	
IronBull	-	Passive	Add the stats, skills, and powers of trapped targets to your own.	-	Virus Power	Mega Viruses	
IronCurtain	Affinity	Cost	Turn all Near summoned element into your element.	-	Virus Power	Mega Viruses	
Replicate	Affinity	Cost	Disguise yourself by copying a Near object’s form. You must undisguise to act.	-	Virus Power	Mega Viruses	
Duplicate	-	Passive	After taking damage, halve your HP (round up) and spawn a copy of yourself Near.	-	Virus Power	Mega Viruses	
Recycle	-	Passive	When anyone Near is deleted, add their stats to yours.	-	Virus Power	Mega Viruses	
RecycleΩ	-	Passive	When anyone Near is deleted, add their stats and skills to yours.	-	Virus Power	Mega Viruses	RecycleOmega
Simulacrum	-	Passive	When you are targeted with a power or chip, you can use it three times.	-	Virus Power	Mega Viruses	
Bloodstone	Bravery	Cost	Next time you’re attacked, your element covers everything Close in a Normal hazard.	-	Virus Power	Mega Viruses	
BloodstoneΩ	-	Passive	When you’re attacked, your element covers everything Close in a Normal hazard.	-	Virus Power	Mega Viruses	BloodstoneOmega
OcularRifts	-	Passive	Your vision is foggy. Enemies beyond Close are only visible if they are moving.	-	Virus Power	Mega Viruses	
AbyssalRoar	Bravery	Cost	Loose a deafening, horrifying roar. It jams all Near PET connections for 3 rolls.	-	Virus Power	Mega Viruses	
							
AllAboard	Speed	Roll	Load a Close ally/object into a carriage (max 3). Loaded things move with you.	-	Virus Power	Mega Viruses	
AllAboardΩ	Speed	Roll	Load a Close ally/object into a carriage (max 5). Loaded things move with you.	-	Virus Power	Mega Viruses	AllAboardOmega
Disembark	Bravery	Roll	Launch up to 2 carriages’ contents a range band in any direction.	-	Virus Power	Mega Viruses	
FirstClass	-	Passive	Allies in carriages heal 1 HP when they roll, and you roll to defend them from all attacks.	-	Virus Power	Mega Viruses	
PainTrain	Speed	Roll	Ram a Near target, damaging and moving Close. You can unload any carriage(s) on them.	-	Virus Power	Mega Viruses	
Moonwalk	Speed	Roll	Slide a range band, returning any broken/removed hazards or summons in your path.	-	Virus Power	Mega Viruses	
ThrillerNight	Charm	Roll	Dance to resurrect a deleted Near Virus ally. HP = hits. Replace their element with yours.	-	Virus Power	Mega Viruses	
ThrillerNightΩ	Charm	Roll	Dance to resurrect a deleted Near ally. HP = hits. Replace their element with yours.	-	Virus Power	Mega Viruses	ThrillerNightOmega
DanseMacabre	Affinity	Roll	Dance with any Close targets. They will explode on deletion, spreading their element.	-	Virus Power	Mega Viruses	
Hustle	-	Passive	Near allies can roll using your Soul instead of theirs.	-	Virus Power	Mega Viruses	
CodeSwitch	Coding	Cost	Pick a Near ally — they use Strength or Coding to manipulate their element for 3 rolls.	-	Virus Power	Mega Viruses	
Manifest	Affinity	Cost	Pick a Near ally — their next 3 rolls spawn their element Close to them.	-	Virus Power	Mega Viruses	
WithABang	-	Passive	Allies you use powers on will blast into their element on deletion, dealing 3 dmg to all Close.	-	Virus Power	Mega Viruses	
MixedBlessing	Charm	Cost	Pick a Near Virus ally — they get +3 dice to all rolls, but lose 2 HP per roll until deletion.	-	Virus Power	Mega Viruses	
ForbiddenArt	Strength	Roll	Parry any attack. Loser takes dmg = the total of the winner’s parry attacks. You can’t back out.	-	Virus Power	Mega Viruses	
PowerDrain	Affinity	Cost	Vaporize a Near object and get a Death token. Spend a token to live while 0 HP for 1 roll.	-	Virus Power	Mega Viruses	
PowerDrainΩ	Affinity	Cost	Vaporize a Near object or a real life object Near the server and get a Death token. Spend a token to live while 0 HP for 1 roll.	-	Virus Power	Mega Viruses	PowerDrainOmega
Combine	-	Passive	Close allies can equip you, adding your skills, element, and other powers to theirs.	-	Virus Power	Mega Viruses	
Deathwish	-	Passive	Add +1 die per missing point of HP to every roll except for defense rolls.	-	Virus Power	Mega Viruses	
							
Vanish	Coding	Cost	Turn invisible and teleport up to a range band. Invisibility expires when you are hurt.	-	Virus Power	Mega Viruses	
Torment	Strength	Roll	Manipulate any number of Near objects (e.g. slam doors, press buttons, toss items, etc).	-	Virus Power	Mega Viruses	
Doubt	-	Passive	You can make each viewer perceive your element differently.	-	Virus Power	Mega Viruses	
MementoMori	Affinity	Cost	Mark a Close target. Remains on jack-out. Consume the mark to warp Near the target.	-	Virus Power	Mega Viruses	
EleMaster	Affinity	Roll	Change your element to anything you want.	-	Virus Power	Mega Viruses	
EleMixup	Coding	Roll	Swap 2+ Near targets’ elements. Lasts 3 rolls.	-	Virus Power	Mega Viruses	
EleMercy	-	Passive	When you’re hurt, spawn your element Close.	-	Virus Power	Mega Viruses	
EleMajesty	-	Passive	You can control up to 3 elements at once.	-	Virus Power	Mega Viruses	
Redshift	Coding	Cost	Your element briefly (pick 1): reveals invisibility; blinds Close to it; starts growing in size.	-	Virus Power	Mega Viruses	
SolarFlare	Affinity	Roll	(Requires 8+ Affinity.) Overheat a Near target’s PET. Interrupts the connection.	-	Virus Power	Mega Viruses	
Supernova	-	Passive	After rolling Affinity, gain 1 Affinity, lose 1 HP, and increase the server’s temperature.	-	Virus Power	Mega Viruses	
SupernovaΩ	-	Passive	After rolling Affinity, gain 2 Affinity, lose 2 HP, and greatly increase the server’s temperature.	-	Virus Power	Mega Viruses	SupernovaOmega
StarCrossed	Affinity	Roll	(Requires 20+ Affinity.) Pick an object Near the real-world server; it catches on fire.	-	Virus Power	Mega Viruses	
Backdoor	Coding	Cost	Create a Near door that leads to a fake room. The room’s walls count as your body.	-	Virus Power	Mega Viruses	
Redecorate	Affinity	Roll	Modify your room’s contents. Complex objects have tells to hint at the room’s nature.	-	Virus Power	Mega Viruses	
Domain	-	Passive	Within your room, you can roll Affinity to manipulate anyone’s summoned element.	-	Virus Power	Mega Viruses	
Populate	Affinity	Cost	Add a fake creature to the room. It rolls with your stats and skills. It cannot speak.	-	Virus Power	Mega Viruses	
							
SOSMail	-	-	Once per jack-in, can send an SOS w/ your location to all chat rooms on the server.	1	NCP	Mudslurp	
FamilyFilter	-	-	Your body beeps loudly to censor any Near audible insults or rude language.	1	NCP	Mudslurp	
FriendsList	-	-	A heads-up display shows the status of your bonded allies in very limited detail.	1	NCP	Mudslurp	FriendList
EmotiConlang	-	-	You can roll Charm instead of Coding to hack into Close inanimate Viruses.	2	NCP	Mudslurp	
Necropost	-	-	Shortly after targets are deleted, you can speak with them. Viruses will be friendly.	2	NCP	Mudslurp	
MysteryChannel	-	-	Secret comms channel! Contains strange signals, odd secrets, and... Virus chatter?	2	NCP	Mudslurp	